City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,East London,ZA,-33.0153,27.9116,75.56,91,2,8.43,clear sky
105,Stupino,RU,54.9008,38.0708,26.35,93,45,12.17,scattered clouds
106,Saskylakh,RU,71.9167,114.0833,-4.97,77,61,9.57,broken clouds
107,Port Lincoln,AU,-34.7333,135.8667,75.18,37,100,9.35,overcast clouds
108,Pisco,PE,-13.7,-76.2167,73.45,68,0,24.16,clear sky
109,Show Low,US,34.2542,-110.0298,55.08,14,0,12.66,clear sky
110,Tazovskiy,RU,67.4667,78.7,-7.35,90,6,14.92,clear sky
111,Norman Wells,CA,65.282,-126.8329,-12.96,70,75,3.44,broken clouds
112,Keffi,NG,8.8486,7.8736,79.23,14,53,4.61,broken clouds
113,Saint-Pierre,RE,-21.3393,55.4781,78.44,83,20,5.75,few clouds
114,Cape Town,ZA,-33.9258,18.4232,69.89,78,20,16.11,few clouds
115,Avarua,CK,-21.2078,-159.775,77.05,88,100,5.75,moderate rain
116,Tukrah,LY,32.5341,20.5791,51.66,73,2,4.85,clear sky
117,Oktyabrskiy,RU,54.4815,53.471,24.33,95,100,7.83,overcast clouds
118,Longyearbyen,SJ,78.2186,15.6401,10.24,72,0,11.5,clear sky
119,Pangai,TO,-19.8,-174.35,82.17,76,43,18.05,scattered clouds
120,Yumen,CN,40.2833,97.2,22.33,55,100,7.61,overcast clouds
121,Noumea,NC,-22.2763,166.4572,84.18,99,87,5.5,overcast clouds
122,Mehamn,NO,71.0357,27.8492,27.28,73,91,21.16,light snow
123,Cidreira,BR,-30.1811,-50.2056,74.98,80,11,21.54,few clouds
124,Burley,US,42.5357,-113.7928,37.31,75,0,11.5,clear sky
125,Hithadhoo,MV,-0.6,73.0833,80.91,71,100,11.63,overcast clouds
126,The Valley,AI,18.217,-63.0578,77.09,83,75,13.8,broken clouds
127,Khatanga,RU,71.9667,102.5,-17.81,85,67,2.68,broken clouds
128,Washougal,US,45.5826,-122.3534,67.06,31,0,31.0,clear sky
129,Okoneshnikovo,RU,54.8377,75.0834,7.09,96,100,6.08,light snow
130,Douentza,ML,14.9951,-2.9517,69.69,13,22,5.99,few clouds
131,Darnah,LY,32.767,22.6367,54.77,55,0,7.67,clear sky
132,Teacapan,MX,22.55,-105.75,77.34,46,23,11.9,few clouds
133,Beringovskiy,RU,63.05,179.3167,-21.14,93,10,7.07,clear sky
134,Ilebo,CD,-4.3167,20.5833,70.83,98,94,0.47,light rain
135,Shimoda,JP,34.6667,138.95,44.1,85,98,5.55,overcast clouds
136,Gigmoto,PH,13.7796,124.39,77.13,89,100,13.27,overcast clouds
137,Champerico,GT,14.3,-91.9167,93.74,55,1,11.56,clear sky
138,Beidao,CN,34.5686,105.8933,32.34,89,30,3.0,scattered clouds
139,Isla Vista,US,34.4133,-119.861,89.35,27,0,3.0,clear sky
140,Mandla,IN,22.6,80.3833,53.33,39,3,2.95,clear sky
141,Biloela,AU,-24.4167,150.5,77.99,49,2,13.78,clear sky
142,Ancud,CL,-41.8697,-73.8203,77.23,74,65,1.99,broken clouds
143,Weihe,CN,32.9952,105.3247,34.81,88,98,4.21,overcast clouds
144,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.62,88,93,5.21,overcast clouds
145,Abha,SA,18.2164,42.5053,57.45,51,0,8.05,clear sky
146,Hilo,US,19.7297,-155.09,80.33,64,0,5.75,clear sky
147,Coahuayana,MX,18.7333,-103.6833,90.88,46,60,6.02,broken clouds
148,Zhangye,CN,38.9342,100.4517,23.49,87,99,0.6,overcast clouds
149,Faya,SA,18.3851,42.4509,57.72,63,6,6.89,clear sky
