City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
80,Guerrero Negro,MX,76.59,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
83,Alofi,NU,85.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
86,Sola,VU,77.59,overcast clouds,-13.8833,167.55,Leumerus Bungalows
90,Bengkulu,ID,75.22,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
102,Souillac,MU,80.98,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
103,Comodoro Rivadavia,AR,85.86,clear sky,-45.8667,-67.5,Austral Hotel
104,East London,ZA,75.56,clear sky,-33.0153,27.9116,Tu Casa
107,Port Lincoln,AU,75.18,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
112,Keffi,NG,79.23,broken clouds,8.8486,7.8736,Imam Family
113,Saint-Pierre,RE,78.44,few clouds,-21.3393,55.4781,Lindsey Hôtel
115,Avarua,CK,77.05,moderate rain,-21.2078,-159.775,Paradise Inn
119,Pangai,TO,82.17,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
121,Noumea,NC,84.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
125,Hithadhoo,MV,80.91,overcast clouds,-0.6,73.0833,Scoop Guest House
126,The Valley,AI,77.09,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
132,Teacapan,MX,77.34,few clouds,22.55,-105.75,Hotel los Mangos
136,Gigmoto,PH,77.13,overcast clouds,13.7796,124.39,Cj's Travellers Inn
139,Isla Vista,US,89.35,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
141,Biloela,AU,77.99,clear sky,-24.4167,150.5,Biloela Silo Motor Inn
142,Ancud,CL,77.23,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
146,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
155,Florianopolis,BR,76.69,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
157,Kiunga,PG,80.29,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
167,Trelew,AR,83.03,broken clouds,-43.249,-65.3051,Hotel Touring Club
168,Port Hedland,AU,82.45,light rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
174,Mount Isa,AU,78.57,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
175,Nhulunbuy,AU,81.21,clear sky,-12.2333,136.7667,East Arnhem Real Estate
